key,value,fulldescription
A,adj,adjectif
A-F,"adj, f","adjectif féminin"
A-M,"adj, m","adjectif masculin"
A_N,n<sup>א</sup>,nom [araméen]
A_N-M,"n, m<sup>א</sup>","nom masculin [araméen]"
ADV,adv,adverbe
CONJ,conj,conjonction
D,dem,pronom démonstratif
H_N,n<sup>ע</sup>,nom [hébreu]
H_N-M,"n, m<sup>ע</sup>","nom masculin [hébreu]"
I,int,mot interrogatif
INJ,intj,interjection
N,n,nom
N-F,"n, f","nom féminin"
N-M,"n, m","nom masculin"
N-M/F,"n, m/f","nom masculin or féminine"
N_A,pr adj,adjectif propre
N_N--L,pr n loc,nom propre de localité
N_N--LG,pr n loc gen,nom propre de localité au sens de gentilé
N_N--PG,pr n pers gen,nom propre de personne au sens de gentilé
N_N--T,pr n title,nom propre quelconque
N_N--TG,pr n title gen,nom propre quelconque au sens de gentilé
N_N-F-L,pr n f loc,"nom propre de localité, feminin"
N_N-F-P,pr n f pers,nom propre de personne de sexe féminin
N_N-F-PG,pr n f pers gen,nom propre de personne de sexe féminin au sens de gentilé
N_N-F-T,pr n f title,nom propre féminin quelconque
N_N-M,pr n m,"nom propre masculin"
N_N-M-P,pr n m pers,nom propre de personne de sexe masculin
N_N-M-PG,pr n m pers gen,nom propre de personne de sexe masculin au sens de gentilé
N_N-M-T,pr n m title,nom propre masculin quelconque
NP,neg,négatif
P,p,pronom personnel
P-FP,p fp,"pronom personnel, féminin pluriel"
P-FS,p fs,"pronom personnel, féminin singulier"
P-MP,p mp,"pronom personnel, masculin pluriel"
P-MS,p ms,"pronom personnel, masculin singulier"
PREP,prep,préposition
PRON,pron,pronom
PRT,part,particule
R,rel,pronom relatif
V,v,verbe
